X_value,Y_value,Z_value
60.077,-0.000012796,11.448
58.861,-0.0054557,6.6554
57.929,-0.0039001,1.819
57.192,-0.0039029,-3.0508
56.61,0.0010664,-7.9456
56.018,-0.00028237,-12.846
55.331,-0.0019462,-17.722
54.594,-0.0017963,-22.594
53.86,-0.00094863,-27.464
52.925,-0.0017836,-32.301
51.698,0.00038139,-37.083
50.517,-0.0010241,-41.877
49.097,-0.0031063,-46.627
47.332,-0.00020818,-51.315
45.321,-0.0020871,-55.962
43.165,-0.0014675,-60.581
40.807,-0.0032597,-65.166
38.06,-0.0014118,-69.68
34.922,-0.00046915,-74.128
31.392,-0.0029589,-78.507
27.318,0.00027405,-82.787
22.171,0.0011575,-86.88
14.811,0.00099249,-90.581
9.0227,-0.0011645,-94.559
5.0518,-0.00038543,-98.861
55.748,18.12,11.702
54.584,17.732,6.9157
53.834,17.488,2.0518
53.277,17.308,-2.8442
52.53,17.065,-7.7045
52.015,16.898,-12.614
51.224,16.645,-17.462
50.664,16.463,-22.359
50.1,16.278,-27.258
49.075,15.945,-32.068
48.049,15.613,-36.876
46.695,15.175,-41.627
45.296,14.717,-46.369
43.524,14.142,-51.038
41.753,13.568,-55.709
39.791,12.929,-60.347
37.227,12.095,-64.87
34.707,11.277,-69.406
31.488,10.231,-73.81
28.128,9.1393,-78.185
23.978,7.7903,-82.416
18.751,6.0947,-86.449
11.243,3.6541,-90.055
6.7165,2.1824,-94.217
3.0788,0.99973,-98.54
45.517,33.077,12.121
44.964,32.662,7.2334
44.169,32.086,2.406
43.733,31.771,-2.4982
43.214,31.4,-7.3866
42.699,31.024,-12.273
42.104,30.591,-17.144
41.588,30.217,-22.034
40.874,29.696,-26.878
40.359,29.32,-31.767
39.287,28.544,-36.533
38.256,27.797,-41.308
36.866,26.785,-46.005
35.518,25.805,-50.711
33.929,24.651,-55.365
32.183,23.383,-59.985
30.041,21.828,-64.517
27.858,20.243,-69.042
25.2,18.309,-73.461
22.263,16.177,-77.822
18.691,13.581,-82.042
14.085,10.237,-86.039
7.6188,5.5357,-89.63
3.6916,2.6837,-93.775
1.7462,1.2688,-98.351
32.234,44.369,12.369
31.343,43.132,7.6293
31.199,42.936,2.6737
30.652,42.182,-2.1622
30.186,41.546,-7.0248
29.871,41.111,-11.929
29.612,40.753,-16.853
29.296,40.318,-21.758
28.805,39.643,-26.611
28.312,38.969,-31.462
27.678,38.098,-36.271
26.928,37.063,-41.048
25.862,35.596,-45.727
24.852,34.207,-50.425
23.757,32.698,-55.097
22.432,30.876,-59.697
20.961,28.85,-64.256
19.405,26.707,-68.791
17.444,24.01,-73.202
15.249,20.992,-77.545
12.742,17.541,-81.792
9.5428,13.136,-85.832
4.6696,6.43,-89.371
1.901,2.6194,-93.541
0.31456,0.43861,-98.066
16.388,50.422,12.686
15.982,49.175,7.9195
15.741,48.424,3.057
15.557,47.86,-1.8453
