X,Y,Z
47,0,13
46,4,13
45,9,13
44,13,13
42,17,13
40,21,13
38,25,13
35,29,13
32,32,13
29,35,13
25,38,13
21,41,13
17,43,13
13,45,13
9,46,13
4,47,13
0,48,13
-4,48,13
-9,48,13
-14,47,13
-19,46,13
-24,45,13
-28,42,12
-32,39,12
-37,37,12
-40,33,12
-44,29,12
-47,25,12
-49,20,12
-52,15,12
-53,10,12
-54,5,12
-55,0,12
-55,-5,12
-54,-10,12
-53,-16,12
-52,-21,12
-49,-26,12
-46,-31,12
-43,-35,12
-40,-40,12
-35,-43,12
-31,-47,12
-26,-49,12
-21,-52,12
-16,-53,12
-10,-55,12
-5,-55,12
0,-55,12
5,-55,12
10,-54,12
16,-52,12
21,-50,12
25,-48,12
30,-45,12
34,-41,12
35,-35,13
41,-33,12
43,-29,12
46,-24,12
47,-19,12
49,-14,13
49,-9,13
49,-4,13
46,0,3
45,4,3
44,8,4
43,13,4
41,17,4
39,21,4
37,25,4
34,28,4
31,31,4
28,34,4
25,37,4
21,40,3
17,42,3
13,44,3
9,45,3
4,46,3
0,47,3
-4,47,3
-9,47,3
-14,46,3
-18,45,3
-23,44,3
-27,41,3
-31,38,3
-36,36,3
-39,32,2
-43,28,2
-46,24,2
-48,20,2
-50,15,2
-52,10,2
-53,5,2
-54,0,2
-53,-5,2
-53,-10,2
-52,-15,2
-50,-20,2
-48,-25,2
-45,-30,2
-42,-35,2
-39,-39,2
-35,-42,2
-30,-45,2
-25,-48,2
-21,-50,2
-15,-52,2
-10,-53,2
-5,-54,2
0,-54,2
5,-53,2
10,-52,2
15,-51,2
20,-49,2
25,-46,2
29,-43,2
33,-40,2
36,-36,3
39,-32,2
42,-28,3
44,-23,3
46,-19,3
47,-14,3
48,-9,3
48,-4,3
45,0,-5
44,4,-5
43,8,-5
42,12,-5
40,16,-5
38,20,-5
36,24,-5
34,27,-5
31,31,-5
28,34,-5
24,36,-5
20,39,-5
17,41,-5
13,43,-5
8,44,-5
4,45,-6
0,46,-6
-4,46,-6
-9,46,-6
-13,45,-6
-18,44,-6
-23,43,-6
-27,40,-6
-31,37,-6
-35,35,-6
-39,32,-6
-42,28,-6
-45,24,-6
-47,19,-7
-49,15,-7
-51,10,-7
-52,5,-7
-52,0,-7
-52,-5,-7
-52,-10,-7
-51,-15,-7
-49,-20,-7
-47,-25,-7
-44,-29,-7
-41,-34,-7
-38,-38,-7
-34,-41,-7
-29,-44,-7
-25,-47,-7
-20,-49,-7
-15,-51,-7
-10,-52,-7
-5,-53,-7
0,-53,-7
5,-52,-7
10,-51,-7
15,-50,-7
20,-48,-7
24,-45,-7
28,-43,-7
32,-39,-7
36,-36,-7
39,-32,-6
41,-27,-6
43,-23,-6
45,-18,-6
46,-14,-6
47,-9,-6
47,-4,-6
43,0,-15
43,4,-15
42,8,-15
41,12,-15
39,16,-15
37,20,-15
35,23,-15
32,27,-15
30,30,-15
27,32,-15
23,35,-15
20,38,-15
16,40,-15
12,41,-15
8,43,-15
4,44,-15
0,44,-15
-4,45,-15
-8,44,-16
-13,44,-16
-17,43,-16
-22,41,-16
-26,39,-16
-30,37,-16
-34,34,-16
-37,31,-16
-41,27,-16
-43,23,-16
-46,19,-16
-48,14,-16
-49,9,-16
-51,5,-17
-51,0,-17
-51,-5,-17
-51,-10,-17
-50,-15,-17
-48,-20,-17
-46,-24,-17
-43,-29,-17
-40,-33,-17
-37,-37,-17
-33,-40,-17
-29,-43,-17
-24,-46,-17
-20,-48,-17
-15,-50,-17
-10,-51,-17
-5,-51,-17
0,-51,-17
5,-51,-17
10,-50,-17
14,-49,-17
19,-47,-17
24,-45,-16
28,-42,-16
31,-38,-16
35,-35,-16
38,-31,-16
40,-27,-16
42,-22,-16
44,-18,-16
45,-13,-16
46,-9,-16
46,-4,-16
41,0,-25
41,4,-25
40,7,-25
39,11,-25
37,15,-25
35,19,-25
33,22,-25
31,25,-25
28,28,-25
25,31,-25
22,33,-25
19,36,-25
15,38,-25
12,39,-25
8,41,-25
4,42,-25
0,42,-25
-4,42,-25
-8,42,-25
-12,42,-25
-17,41,-25
-21,39,-25
-25,37,-26
-29,35,-26
-32,32,-26
-36,29,-26
-39,26,-26
-42,22,-26
-44,18,-26
-46,14,-26
-48,9,-26
-49,4,-26
-49,0,-26
-49,-4,-26
-49,-9,-26
-48,-14,-26
-46,-19,-26
-44,-23,-26
-42,-28,-26
-39,-32,-26
-36,-36,-26
-32,-39,-26
-28,-42,-26
-24,-45,-26
-19,-47,-26
-14,-48,-26
-9,-49,-26
-4,-50,-26
0,-50,-26
4,-50,-26
9,-49,-26
14,-47,-26
19,-46,-26
23,-43,-26
27,-41,-26
31,-37,-26
34,-34,-26
37,-30,-26
39,-26,-26
41,-22,-26
43,-17,-26
44,-13,-26
44,-8,-26
45,-4,-25
39,0,-34
38,3,-34
37,7,-34
36,11,-34
34,14,-34
33,17,-34
31,20,-34
28,23,-34
26,26,-34
23,29,-34
20,31,-34
17,33,-34
14,35,-34
11,36,-34
7,38,-34
3,39,-34
0,39,-34
-3,40,-35
-7,40,-35
-11,39,-35
-15,38,-35
-19,37,-35
-23,35,-35
-27,33,-35
-30,30,-35
-34,28,-35
-37,24,-35
-40,21,-35
-42,17,-36
-44,13,-36
-45,9,-36
-46,4,-36
-47,0,-36
-47,-4,-36
-47,-9,-36
-46,-13,-36
-44,-18,-36
-42,-22,-36
-40,-26,-36
-37,-30,-36
-34,-34,-36
-30,-37,-36
-27,-40,-36
-23,-43,-36
-18,-45,-36
-14,-46,-36
-9,-47,-36
-4,-48,-36
0,-48,-36
4,-48,-36
9,-47,-36
13,-46,-36
18,-44,-36
22,-42,-36
26,-39,-36
29,-36,-36
33,-33,-36
35,-29,-36
38,-25,-36
39,-21,-35
41,-17,-35
42,-12,-35
42,-8,-35
42,-4,-35
35,0,-44
34,3,-44
33,6,-44
32,9,-44
31,12,-43
29,15,-43
27,18,-43
25,21,-43
23,23,-43
21,25,-43
18,28,-43
16,29,-43
13,31,-44
10,33,-44
6,34,-44
3,35,-44
0,35,-44
-3,36,-44
-7,36,-44
-10,35,-44
-14,34,-44
-18,34,-44
-21,32,-44
-24,30,-44
-28,28,-45
-31,25,-45
-34,23,-45
-36,19,-45
-39,16,-45
-40,12,-45
-42,8,-45
-43,4,-45
-43,0,-45
-43,-4,-45
-43,-8,-45
-42,-12,-45
-41,-17,-45
-39,-21,-45
-37,-25,-45
-35,-28,-45
-32,-32,-45
-28,-35,-46
-25,-38,-46
-21,-40,-46
-17,-42,-46
-13,-43,-46
-8,-44,-46
-4,-45,-46
0,-45,-45
4,-45,-45
8,-44,-45
13,-43,-45
17,-41,-45
21,-39,-45
24,-37,-45
28,-34,-45
31,-31,-45
33,-27,-45
35,-23,-45
37,-20,-45
38,-16,-45
39,-12,-45
40,-7,-45
40,-3,-45
30,0,-53
29,2,-53
29,5,-53
28,8,-53
26,11,-53
25,13,-53
23,15,-53
22,18,-53
20,20,-52
18,22,-53
15,23,-53
13,25,-53
11,27,-53
8,28,-53
5,29,-53
2,30,-53
0,31,-53
-3,31,-53
-6,31,-53
-9,31,-53
-12,30,-53
-15,29,-53
-19,28,-54
-21,26,-54
-25,25,-54
-28,23,-54
-30,20,-54
-33,17,-54
-35,14,-54
-36,11,-54
-37,7,-54
-38,3,-54
-39,0,-54
-39,-3,-54
-39,-7,-55
-38,-11,-55
-37,-15,-55
-35,-19,-55
-34,-22,-55
-31,-26,-55
-29,-29,-55
-26,-32,-55
-23,-34,-55
-19,-36,-55
-16,-38,-55
-12,-40,-55
-8,-41,-55
-4,-41,-55
0,-41,-55
4,-41,-55
8,-41,-55
12,-39,-55
15,-38,-55
19,-36,-55
22,-34,-55
25,-31,-55
28,-28,-55
30,-25,-55
32,-21,-54
34,-18,-54
35,-14,-54
35,-10,-54
36,-7,-54
36,-3,-54
24,0,-62
23,2,-62
22,4,-62
22,6,-62
20,8,-61
19,10,-61
18,12,-61
17,14,-61
15,15,-61
14,17,-61
12,18,-61
10,19,-61
8,21,-61
6,22,-62
4,23,-62
2,23,-62
0,24,-62
-2,25,-62
-5,25,-62
-7,25,-62
-10,24,-62
-12,24,-62
-15,23,-62
-18,22,-63
-21,21,-63
-23,19,-63
-25,17,-63
-28,14,-63
-29,12,-63
-31,9,-63
-32,6,-63
-33,3,-63
-34,0,-63
-34,-3,-64
-33,-6,-64
-33,-10,-64
-32,-13,-64
-31,-16,-64
-29,-19,-64
-27,-22,-64
-25,-25,-64
-23,-28,-64
-20,-30,-64
-17,-32,-64
-14,-34,-64
-10,-35,-64
-7,-36,-64
-3,-36,-64
0,-36,-64
3,-36,-64
7,-36,-64
10,-35,-64
14,-34,-64
17,-32,-64
20,-30,-64
22,-28,-64
25,-25,-64
27,-22,-64
29,-19,-64
30,-16,-64
31,-12,-63
31,-9,-63
31,-6,-63
31,-3,-63
16,0,-70
14,1,-70
14,2,-70
13,4,-70
12,5,-70
11,6,-70
10,7,-70
10,8,-70
9,9,-70
8,10,-70
7,10,-70
6,11,-70
5,12,-70
4,13,-70
2,14,-70
1,15,-70
0,15,-70
-1,16,-70
-3,16,-70
-5,17,-71
-7,17,-71
-9,16,-71
-11,16,-71
-13,16,-71
-15,15,-71
-17,14,-71
-19,13,-72
-21,11,-72
-23,9,-72
-24,7,-72
-25,5,-72
-26,2,-72
-27,0,-72
-27,-2,-72
-26,-5,-72
-26,-8,-72
-25,-10,-72
-25,-13,-72
-23,-15,-73
-22,-18,-73
-20,-20,-73
-18,-23,-73
-16,-25,-73
-14,-26,-73
-11,-28,-73
-8,-29,-73
-6,-30,-73
-3,-31,-73
0,-31,-73
3,-31,-73
6,-30,-73
9,-30,-73
12,-29,-73
14,-27,-73
17,-25,-73
19,-23,-73
21,-21,-73
23,-18,-73
24,-16,-73
25,-13,-73
25,-10,-72
26,-7,-72
26,-5,-72
25,-2,-72
2,0,-78
1,0,-78
1,0,-78
0,0,-78
0,0,-78
0,0,-77
0,0,-77
0,0,-77
0,0,-77
0,0,-77
0,0,-77
0,-1,-77
0,-1,-77
0,-1,-77
0,-1,-77
0,-1,-77
0,0,-77
0,0,-77
0,0,-78
0,1,-78
-1,2,-78
-2,3,-78
-2,4,-78
-4,5,-79
-6,6,-79
-7,6,-79
-9,6,-80
-11,6,-80
-12,5,-80
-13,4,-80
-14,2,-80
-15,1,-80
-16,0,-80
-16,-1,-80
-16,-3,-80
-17,-5,-81
-16,-6,-81
-16,-8,-81
-15,-10,-81
-15,-12,-81
-14,-14,-81
-13,-15,-81
-11,-17,-81
-10,-19,-81
-8,-20,-81
-6,-21,-81
-4,-22,-82
-2,-23,-82
0,-23,-82
2,-23,-82
4,-23,-82
6,-23,-82
9,-22,-82
11,-21,-82
13,-19,-82
14,-18,-82
16,-16,-81
17,-14,-81
18,-12,-81
18,-9,-81
18,-7,-81
18,-5,-81
18,-3,-81
17,-1,-81
