Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(3800000000+0j),(-0.1768104732+0.6129090974j),(0.0003969849204-0.0004231849452j),(0.0004394285788-0.0003335156944j),(0.04011670128+0.1235437171j)
(3801000000+0j),(-0.1315293908+0.6319377154j),(0.0003960430913-0.0004730643996j),(0.0003758474195-0.0004304296453j),(0.04382896423+0.116912473j)
(3802000000+0j),(-0.08644752204+0.6471455519j),(0.0003913758846-0.0005300058983j),(0.000341179606-0.0004839995527j),(0.04625698179+0.110645968j)
(3803000000+0j),(-0.04064557329+0.6585233535j),(0.0002819123911-0.0005651877145j),(0.0002621356689-0.0005596315023j),(0.04799239337+0.1049609909j)
(3804000000+0j),(0.004975595046+0.6663529409j),(0.0001576017821-0.0006525239442j),(0.0001999079832-0.0005209788796j),(0.04911245033+0.0996223612j)
(3805000000+0j),(0.05073652789+0.6704502225j),(0.0001305960468-0.0005994882085j),(0.0001736618433-0.0005802661763j),(0.04983598739+0.09478215475j)
(3806000000+0j),(0.09626678377+0.6712431136j),(8.971952775e-05-0.0005117829423j),(9.572185809e-05-0.0005953615182j),(0.04972211272+0.09031490652j)
(3807000000+0j),(0.1409691721+0.6688335069j),(-4.449616608e-05-0.000563243113j),(1.470423467e-05-0.0005664471537j),(0.04946756735+0.0863215022j)
(3808000000+0j),(0.1849569231+0.663092306j),(-0.0001447401155-0.000602099637j),(-3.576875542e-07-0.0005555893877j),(0.04857551679+0.08279345493j)
(3809000000+0j),(0.2281134874+0.6542907328j),(-0.0001592818298-0.0005685967044j),(-0.0001570381282-0.0005498044775j),(0.04732542112+0.0798527586j)
(3810000000+0j),(0.2702923119+0.6420581721j),(-0.000171926702-0.0005979124689j),(-8.906400035e-05-0.0005028921296j),(0.04565488175+0.07770524598j)
(3811000000+0j),(0.3116192818+0.6273634386j),(-0.0002266506926-0.0004675059172j),(-0.0001734597899-0.0004796011781j),(0.04395261034+0.0765958391j)
(3812000000+0j),(0.351578176+0.6099550236j),(-0.0002776705951-0.0005390364095j),(-0.0003037280403-0.0004800160532j),(0.04213409126+0.07630648287j)
(3813000000+0j),(0.3904044628+0.5896700068j),(-0.0003155040322-0.0004153086338j),(-0.00037037328-0.0005054346402j),(0.04075500369+0.07669502108j)
(3814000000+0j),(0.4271222055+0.566675839j),(-0.0003495436104-0.0004327117349j),(-0.0003769893083-0.0004386640503j),(0.03972567618+0.07801816693j)
(3815000000+0j),(0.4621620774+0.5414166567j),(-0.0003970930702-0.0003061251191j),(-0.0004571878817-0.0003744773858j),(0.03924874216+0.0799775282j)
(3816000000+0j),(0.495254904+0.5134468883j),(-0.0005036846851-0.0003042203898j),(-0.0003994249564-0.0004177143564j),(0.03955380246+0.08222268237j)
(3817000000+0j),(0.5268631577+0.4830892091j),(-0.0004820043687-0.0002547017066j),(-0.0004660632985-0.0003212329757j),(0.04049918056+0.0847034092j)
(3818000000+0j),(0.5560460687+0.4502727518j),(-0.0005737161264-0.0001787623187j),(-0.0004732212983-0.0002498973336j),(0.04214813933+0.08736481417j)
(3819000000+0j),(0.5826563239+0.4157154371j),(-0.0005686187651-0.0001135621787j),(-0.0005658370792-0.0001903862285j),(0.04446993396+0.09008278044j)
(3820000000+0j),(0.6072458625+0.378820988j),(-0.0005464912392-4.397426164e-05j),(-0.0005300394259-0.000153122819j),(0.0473000966+0.09268228999j)
(3821000000+0j),(0.6292341948+0.3398085202j),(-0.0005283489591+4.439626355e-05j),(-0.0004640184343-7.29760286e-05j),(0.05068729445+0.09506038174j)
(3822000000+0j),(0.6485789418+0.2991798312j),(-0.0005849484587+2.124163075e-05j),(-0.0005810108269-5.525419328e-05j),(0.0546657145+0.09757943363j)
(3823000000+0j),(0.6648299694+0.2566551168j),(-0.0004994996707+0.0001314480905j),(-0.0006144932122-1.758066105e-06j),(0.0593691729+0.09984834714j)
(3824000000+0j),(0.6783074737+0.2123003829j),(-0.0005250904942+0.0002054694341j),(-0.0005610073567+7.628159074e-05j),(0.06489819288+0.1018539467j)
(3825000000+0j),(0.6882603765+0.1673732446j),(-0.00050805707+0.0002554358216j),(-0.0006004049792+0.0001655029919j),(0.07084158808+0.1032296435j)
(3826000000+0j),(0.6948675513+0.1207144402j),(-0.0004526945413+0.0002308920812j),(-0.0005293576396+0.000256259169j),(0.07729069144+0.1040468375j)
(3827000000+0j),(0.6982288957+0.07299049081j),(-0.0004915010068+0.0003386321478j),(-0.0004835381696+0.000290365715j),(0.08425391465+0.1047535179j)
(3828000000+0j),(0.697973609+0.02470709985j),(-0.0003662812815+0.0003894586698j),(-0.0004212248605+0.0003932647815j),(0.09163076431+0.1045568539j)
(3829000000+0j),(0.6937407851-0.0244425319j),(-0.0003683419782+0.0004511902807j),(-0.0004097784113+0.0003891621309j),(0.09945378453+0.1036182438j)
(3830000000+0j),(0.6856430769-0.07328677298j),(-0.0002606549533+0.000460721436j),(-0.0003566993983+0.0004833264684j),(0.1074116975+0.1019157326j)
(3831000000+0j),(0.6732922792-0.122354721j),(-0.0002466042934+0.0004138456425j),(-0.0002719990152+0.000499840884j),(0.1156517714+0.09921235559j)
(3832000000+0j),(0.6565570831-0.1712123717j),(-0.0001823651401+0.0005495283986j),(-0.0001376766159+0.0005319121992j),(0.123796016+0.09551676721j)
(3833000000+0j),(0.6356395483-0.2190712021j),(-0.0001080372749+0.0005041145487j),(-0.0001356474095+0.0005598354037j),(0.1317429841+0.09089724134j)
(3834000000+0j),(0.6101015806-0.2656580956j),(-3.466927228e-05+0.0005829147412j),(-8.240761235e-05+0.0005277158343j),(0.1393098682+0.08553659829j)
(3835000000+0j),(0.5803555846-0.3110800609j),(1.287707255e-05+0.000534139399j),(7.578703662e-05+0.0005863553961j),(0.1464718133+0.07935336836j)
(3836000000+0j),(0.5459997058-0.354406163j),(0.0001565376588+0.0005123431911j),(8.555234672e-06+0.0005479008541j),(0.1531762481+0.07255770562j)
(3837000000+0j),(0.5072054863-0.3948597124j),(0.0001878179464+0.000527824508j),(0.0001443887741+0.0005631464301j),(0.1594633311+0.06502791489j)
(3838000000+0j),(0.4641355574-0.4328168618j),(0.0002130091889+0.0004896200262j),(0.0002248158853+0.0004260361602j),(0.165231362+0.05703294249j)
(3839000000+0j),(0.417122364-0.4667989948j),(0.0002764152305+0.0004311659141j),(0.0002853985934+0.000511556631j),(0.170340389+0.04815464048j)
(3840000000+0j),(0.3649201691-0.4969191835j),(0.0003123877977+0.0003971447877j),(0.0002285558294+0.0003910287051j),(0.1746980101+0.03882367473j)
(3841000000+0j),(0.3102883697-0.5223522633j),(0.0003011364315+0.0002723551879j),(0.0002955954114+0.0003780074476j),(0.1783675402+0.02894654122j)
