Frequency,S33,S32,S23,S22
(3800000000+0j),(-0.2900817394+0.6780014846j),(0.002402090468+0.003781208303j),(0.00221743877+0.003978635184j),(0.02593272738+0.03652061045j)
(3801000000+0j),(-0.2310281694+0.707176798j),(0.002648519585+0.003521886421j),(0.002489769133+0.003767915303j),(0.0185845606+0.03422302455j)
(3802000000+0j),(-0.1713981777+0.7304623717j),(0.003000308527+0.003299647709j),(0.002832913073+0.00347974943j),(0.01089848299+0.03363195304j)
(3803000000+0j),(-0.1117291749+0.74840575j),(0.003241588362+0.003034879919j),(0.003081617644+0.003291453701j),(0.003236368997+0.03452428684j)
(3804000000+0j),(-0.05100157857+0.7607748923j),(0.003360308008+0.00265607168j),(0.003259398974+0.002978188219j),(-0.004105488304+0.03695434926j)
(3805000000+0j),(0.0089902943+0.7679517874j),(0.00357845542+0.002436966868j),(0.00350894127+0.002694647759j),(-0.01102995872+0.04075821662j)
(3806000000+0j),(0.06846854836+0.7704061366j),(0.003744988702+0.00209055352j),(0.003710504854+0.002320781583j),(-0.01721970737+0.04592297602j)
(3807000000+0j),(0.1271235794+0.767667669j),(0.003844280494+0.001803959953j),(0.003819887759+0.002010438126j),(-0.02257271111+0.05228540604j)
(3808000000+0j),(0.1843780726+0.7604132938j),(0.003907411359+0.001418558299j),(0.003976173699+0.001644008909j),(-0.02698833682+0.05986320168j)
(3809000000+0j),(0.2404773384+0.7491602719j),(0.004043415654+0.001042007469j),(0.004067559261+0.001366462559j),(-0.02999806963+0.06837718107j)
(3810000000+0j),(0.2946968973+0.733367484j),(0.004118841141+0.0008298816974j),(0.004164313432+0.001016893075j),(-0.03158651292+0.07760148669j)
(3811000000+0j),(0.3471291959+0.7142868677j),(0.004089019261+0.0003891525848j),(0.004105996341+0.0006555918371j),(-0.03203842789+0.08738951706j)
(3812000000+0j),(0.3974377513+0.691455497j),(0.004051372409+0.0001054300083j),(0.004274869803+0.0003443683963j),(-0.03108286671+0.09750163612j)
(3813000000+0j),(0.445248127+0.6653533964j),(0.00408570189-0.0001907924161j),(0.004252410028+6.766203296e-05j),(-0.02862075903+0.1079576954j)
(3814000000+0j),(0.4910012186+0.6357363035j),(0.004074176773-0.0005097328103j),(0.004218703602-0.0003061224415j),(-0.02471083589+0.1183919113j)
(3815000000+0j),(0.5348414779+0.6025246079j),(0.004052167758-0.0008601342561j),(0.004250120372-0.0006208203849j),(-0.01933942921+0.1287141337j)
