X_value,Y_value,Z_value
-2.5,-2.5,-61.239369501466285
-2.5,-2.0,-61.18328445747801
-2.5,-1.5,-61.21444281524927
-2.5,-1.0,-61.19574780058652
-2.5,-0.5,-61.239369501466285
-2.5,0.0,-61.332844574780054
-2.5,0.5,-61.36400293255133
-2.5,1.0,-61.36400293255133
-2.5,1.5,-61.40139296187684
-2.5,2.0,-61.35153958944282
-2.5,2.5,-61.40139296187684
-2.0,-2.5,-61.264296187683286
-2.0,-2.0,-61.30168621700879
-2.0,-1.5,-61.34530791788856
-2.0,-1.0,-61.38269794721407
-2.0,-0.5,-61.38269794721407
-2.0,0.0,-61.42008797653959
-2.0,0.5,-61.507331378299114
-2.0,1.0,-61.47617302052785
-2.0,1.5,-61.44501466275659
-2.0,2.0,-61.45124633431085
-2.0,2.5,-61.41385630498533
-1.5,-2.5,-61.39516129032259
-1.5,-2.0,-61.370234604105576
-1.5,-1.5,-61.37646627565982
-1.5,-1.0,-61.370234604105576
-1.5,-0.5,-61.40139296187684
-1.5,0.0,-61.613269794721404
-1.5,0.5,-61.62573313782991
-1.5,1.0,-61.63819648093842
-1.5,1.5,-61.63819648093842
-1.5,2.0,-61.59457478005865
-1.5,2.5,-61.513563049853374
-1.0,-2.5,-61.332844574780054
-1.0,-2.0,-61.332844574780054
-1.0,-1.5,-61.98717008797654
-1.0,-1.0,-62.47324046920821
-1.0,-0.5,-62.741202346041064
-1.0,0.0,-63.102639296187675
-1.0,0.5,-63.077712609970675
-1.0,1.0,-62.49816715542522
-1.0,1.5,-62.23020527859238
-1.0,2.0,-61.893695014662754
-1.0,2.5,-61.74413489736071
-0.5,-2.5,-61.96847507331378
-0.5,-2.0,-62.803519061583586
-0.5,-1.5,-63.22727272727272
-0.5,-1.0,-63.44538123167155
-0.5,-0.5,-63.62609970674487
-0.5,0.0,-63.86913489736071
-0.5,0.5,-63.64479472140762
-0.5,1.0,-63.5575513196481
-0.5,1.5,-63.27712609970675
-0.5,2.0,-62.85960410557185
-0.5,2.5,-61.999633431085044
0.0,-2.5,-63.495234604105576
0.0,-2.0,-63.65102639296188
0.0,-1.5,-64.00623167155425
0.0,-1.0,-64.19941348973607
0.0,-0.5,-64.2866568914956
0.0,0.0,-65.14039589442815
0.0,0.5,-65.1590909090909
0.0,1.0,-65.05315249266863
0.0,1.5,-64.94721407624634
0.0,2.0,-64.78519061583577
0.0,2.5,-64.4050586510264
0.5,-2.5,-64.05608504398828
0.5,-2.0,-64.19941348973607
0.5,-1.5,-64.4050586510264
0.5,-1.0,-64.59200879765396
0.5,-0.5,-64.69171554252199
0.5,0.0,-65.45821114369501
0.5,0.5,-65.48936950146627
0.5,1.0,-65.40212609970675
0.5,1.5,-65.28995601173021
0.5,2.0,-65.06561583577712
0.5,2.5,-64.72287390029325
1.0,-2.5,-64.28042521994135
1.0,-2.0,-64.50476539589442
1.0,-1.5,-64.76026392961877
1.0,-1.0,-64.89736070381231
1.0,-0.5,-64.9783724340176
1.0,0.0,-65.5392228739003
1.0,0.5,-65.70124633431085
1.0,1.0,-65.61400293255132
1.0,1.5,-65.45821114369501
1.0,2.0,-65.2401026392962
1.0,2.5,-64.91605571847508
1.5,-2.5,-64.69171554252199
1.5,-2.0,-64.89112903225806
1.5,-1.5,-65.04068914956012
1.5,-1.0,-65.19648093841643
1.5,-0.5,-65.28995601173021
1.5,0.0,-65.93181818181819
1.5,0.5,-65.8383431085044
1.5,1.0,-65.75733137829911
1.5,1.5,-65.61400293255132
1.5,2.0,-65.35850439882698
1.5,2.5,-65.06561583577712
2.0,-2.5,-64.85373900293256
2.0,-2.0,-65.10300586510265
2.0,-1.5,-65.25256598240469
2.0,-1.0,-65.35227272727273
2.0,-0.5,-65.41458944281526
2.0,0.0,-66.07514662756599
2.0,0.5,-65.90065982404693
2.0,1.0,-65.88196480938416
2.0,1.5,-65.61400293255132
2.0,2.0,-65.383431085044
2.0,2.5,-65.10300586510265
2.5,-2.5,-64.99706744868035
2.5,-2.0,-65.24633431085044
2.5,-1.5,-65.408357771261
2.5,-1.0,-65.54545454545455
2.5,-0.5,-65.6950146627566
2.5,0.0,-65.96297653958945
2.5,0.5,-65.79472140762464
2.5,1.0,-65.76979472140762
2.5,1.5,-65.5516862170088
2.5,2.0,-65.33980938416423
2.5,2.5,-65.07807917888563
