X_value,Y_value,Z_value
-2.5,-2.5,-62.50439882697947
-2.5,-2.0,-63.14626099706746
-2.5,-1.5,-63.5575513196481
-2.5,-1.0,-63.800586510263926
-2.5,-0.5,-63.90029325513197
-2.5,0.0,-64.37390029325513
-2.5,0.5,-64.21187683284458
-2.5,1.0,-63.99376832844575
-2.5,1.5,-63.669721407624635
-2.5,2.0,-63.16495601173021
-2.5,2.5,-62.70381231671554
-2.0,-2.5,-63.67595307917888
-2.0,-2.0,-64.1184017595308
-2.0,-1.5,-64.34897360703812
-2.0,-1.0,-64.51722873900293
-2.0,-0.5,-64.57954545454545
-2.0,0.0,-64.94721407624634
-2.0,0.5,-64.82881231671554
-2.0,1.0,-64.67302052785924
-2.0,1.5,-64.44868035190616
-2.0,2.0,-64.04362170087977
-2.0,2.5,-63.57624633431085
-1.5,-2.5,-64.31781524926686
-1.5,-2.0,-64.64186217008798
-1.5,-1.5,-64.81011730205279
-1.5,-1.0,-64.94721407624634
-1.5,-0.5,-65.04068914956012
-1.5,0.0,-65.33357771260997
-1.5,0.5,-65.2774926686217
-1.5,1.0,-65.17155425219941
-1.5,1.5,-64.99083577712611
-1.5,2.0,-64.65432551319648
-1.5,2.5,-64.17448680351906
-1.0,-2.5,-64.79142228739003
-1.0,-2.0,-65.02822580645162
-1.0,-1.5,-65.19024926686217
-1.0,-1.0,-65.30865102639297
-1.0,-0.5,-65.41458944281526
-1.0,0.0,-65.73240469208211
-1.0,0.5,-65.67631964809384
-1.0,1.0,-65.58907624633432
-1.0,1.5,-65.39589442815249
-1.0,2.0,-65.10300586510265
-1.0,2.5,-64.64809384164224
-0.5,-2.5,-65.10923753665689
-0.5,-2.0,-65.35227272727273
-0.5,-1.5,-65.54545454545455
-0.5,-1.0,-65.66385630498534
-0.5,-0.5,-65.74486803519062
-0.5,0.0,-65.98790322580645
-0.5,0.5,-65.96297653958945
-0.5,1.0,-65.8632697947214
-0.5,1.5,-65.6825513196481
-0.5,2.0,-65.35850439882698
-0.5,2.5,-64.89736070381231
0.0,-2.5,-65.34604105571847
0.0,-2.0,-65.63892961876833
0.0,-1.5,-65.75109970674487
0.0,-1.0,-65.90065982404693
0.0,-0.5,-65.9816715542522
0.0,0.0,-62.8782991202346
0.0,0.5,-66.32441348973607
0.0,1.0,-66.18731671554252
0.0,1.5,-65.9816715542522
0.0,2.0,-65.74486803519062
0.0,2.5,-65.42705278592375
0.5,-2.5,-60.72837243401759
0.5,-2.0,-65.79472140762464
0.5,-1.5,-65.93181818181819
0.5,-1.0,-66.06891495601172
0.5,-0.5,-66.18731671554252
0.5,0.0,-63.26466275659824
0.5,0.5,-66.46774193548387
0.5,1.0,-66.24963343108504
0.5,1.5,-66.08760997067449
0.5,2.0,-65.8383431085044
0.5,2.5,-65.4457478005865
1.0,-2.5,-60.70967741935485
1.0,-2.0,-66.05645161290323
1.0,-1.5,-66.05021994134897
1.0,-1.0,-66.32441348973607
1.0,-0.5,-66.40542521994135
1.0,0.0,-63.57624633431085
1.0,0.5,-66.4241202346041
1.0,1.0,-66.28702346041055
1.0,1.5,-66.08760997067449
1.0,2.0,-65.80095307917888
1.0,2.5,-65.43951612903226
1.5,-2.5,-60.81561583577712
1.5,-2.0,-66.1125366568915
1.5,-1.5,-66.14992668621701
1.5,-1.0,-66.31195014662757
1.5,-0.5,-66.29948680351906
1.5,0.0,-63.432917888563054
1.5,0.5,-66.38049853372434
1.5,1.0,-66.17485337243401
1.5,1.5,-65.97543988269794
1.5,2.0,-65.7199413489736
1.5,2.5,-65.34604105571847
2.0,-2.5,-60.99633431085044
2.0,-2.0,-66.04398826979472
2.0,-1.5,-66.1125366568915
2.0,-1.0,-66.2807917888563
2.0,-0.5,-66.24963343108504
2.0,0.0,-62.93438416422288
2.0,0.5,-66.15615835777126
2.0,1.0,-66.0065982404692
2.0,1.5,-65.76979472140762
2.0,2.0,-65.5516862170088
2.0,2.5,-65.20894428152494
2.5,-2.5,-60.977639296187675
2.5,-2.0,-65.92558651026393
2.5,-1.5,-66.08760997067449
2.5,-1.0,-66.08760997067449
2.5,-0.5,-66.07514662756599
2.5,0.0,-62.67888563049854
2.5,0.5,-65.9816715542522
2.5,1.0,-65.76979472140762
2.5,1.5,-65.57661290322581
2.5,2.0,-65.34604105571847
2.5,2.5,-65.02822580645162
