X_value,Y_value,Z_value
50.52895894428153,8.507748806232e-15,-29.999999999999986
46.59054252199414,8.990065712758362e-15,-34.999999999999986
41.84824046920821,9.570830215711783e-15,-39.999999999999986
35.63526392961877,1.0331700398950362e-14,-44.99999999999998
26.83614369501467,1.1409281842012424e-14,-49.99999999999998
10.945381231671547,1.335533898068683e-14,-54.99999999999998
2.365497332359025e-14,46.55938416422288,-29.999999999999982
2.4487966170658715e-14,42.807917888563054,-34.999999999999986
2.5585247445949897e-14,37.866202346041064,-39.99999999999998
2.6937131186125794e-14,31.77785923753666,-44.99999999999998
2.877192938415367e-14,23.51466275659824,-49.99999999999998
3.2227050877725026e-14,7.954178885630498,-54.99999999999997
3.531272205540389e-14,-5.942448680351902,-59.99999999999997
-52.236436950146626,1.469576158976824e-14,-29.999999999999986
-48.1858504398827,1.469576158976824e-14,-34.999999999999986
-43.28152492668622,1.469576158976824e-14,-39.999999999999986
-37.1184017595308,1.469576158976824e-14,-44.99999999999998
-28.556085043988276,1.469576158976824e-14,-49.99999999999998
-12.702712609970675,1.469576158976824e-14,-54.99999999999998
-8.252132905731056e-15,-57.888563049853374,-29.999999999999986
-7.359640569586274e-15,-53.86913489736071,-34.999999999999986
-6.306637983840257e-15,-49.12683284457478,-39.999999999999986
-4.982428424630089e-15,-43.16312316715542,-44.999999999999986
-3.1296420089744853e-15,-34.818914956011724,-49.99999999999998
1.6081810785077574e-16,-20.0,-54.99999999999998
2.6155179595110024e-15,-8.945014662756591,-59.99999999999998
