X_value,Y_value,Z_value,Laser Distance
215.0,-9.0,660.0,100.39882697947215
336.0,94.0,660.0,102.841642228739
340.0,215.0,660.0,105.63966275659824
124.0,89.0,660.0,102.19354838709677
45.0,230.0,660.0,105.33431085043989
-128.0,103.0,660.0,102.55498533724341
-270.0,225.0,660.0,106.2441348973607
-400.0,142.0,660.0,105.19098240469208
-222.0,22.0,660.0,101.75733137829911
-420.0,165.0,660.0,105.5274926686217
-230.0,-220.0,660.0,97.88746334310851
-105.0,80.0,660.0,102.21847507331378
-25.0,-220.0,660.0,97.47617302052785
110.0,-63.0,660.0,99.32697947214076
290.0,-178.0,660.0,98.11180351906158
200.0,-13.0,660.0,100.49230205278592

difference Z : 8.767961876832842
