X_value,Y_value,Z_value,Laser Distance
215.0,-9.0,700.0,58.37243401759531
336.0,94.0,700.0,59.824413489736074
340.0,215.0,700.0,61.37609970674487
124.0,89.0,700.0,59.71847507331378
45.0,230.0,700.0,61.91202346041056
-128.0,103.0,700.0,60.87133431085044
-270.0,225.0,700.0,63.71297653958944
-400.0,142.0,700.0,63.39516129032258
-222.0,22.0,700.0,60.35410557184751
-420.0,165.0,700.0,63.96224340175953
-230.0,-220.0,700.0,57.73680351906158
-105.0,80.0,700.0,60.37903225806451
-25.0,-220.0,700.0,56.68988269794721
110.0,-63.0,700.0,57.81158357771261
290.0,-178.0,700.0,56.59017595307918
200.0,-13.0,700.0,58.37243401759531
